Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
57.428	2000	57.428	17.25	57.428	0	57.428	3	57.428	0.07					
57.628	2000	57.628	17.25	57.628	0	57.628	3	57.628	0.08					
57.828	2000	57.828	17.25	57.828	0	57.828	3	57.828	0.08					
58.028	2000	58.028	17.25	58.028	0	58.028	3	58.028	0.07					
58.228	2000	58.228	17.25	58.228	0	58.228	3	58.228	0.08					
58.428	2000	58.428	17.25	58.428	0	58.428	3	58.428	0.08					
58.628	2000	58.628	17.25	58.628	0	58.628	3	58.628	0.08					
58.828	2000	58.828	17.25	58.828	0	58.828	3	58.828	0.08					
59.028	2000	59.028	17.25	59.028	0	59.028	3	59.028	0.08					
59.228	2000	59.228	17.25	59.228	0	59.228	3	59.228	0.08					
59.428	2000	59.428	17.25	59.428	0	59.428	3	59.428	0.08					
59.628	2000	59.628	17.25	59.628	0	59.628	3	59.628	0.08					
59.828	2000	59.828	17.25	59.828	0	59.828	3	59.828	0.08					
60.028	2000	60.028	17.25	60.028	0	60.028	3	60.028	0.08					
60.228	2000	60.228	17.25	60.228	0	60.228	3	60.228	0.08					
60.428	2000	60.428	17.25	60.428	0	60.428	3	60.428	0.08					
60.628	2000	60.628	17.25	60.628	0	60.628	3	60.628	0.08					
60.828	2000	60.828	17.25	60.828	0	60.828	3	60.828	0.07					
61.028	2000	61.028	17.25	61.028	0	61.028	3	61.028	0.08					
61.228	2000	61.228	17.25	61.228	0	61.228	3	61.228	0.07					
61.428	2000	61.428	17.25	61.428	0	61.428	3	61.428	0.08					
61.628	2000	61.628	17.25	61.628	0	61.628	3	61.628	0.08					
61.828	2000	61.828	17.25	61.828	0	61.828	3	61.828	0.08					
